protein_ID,PC1_loadings,PC2_loadings,PC_threshold_pass,ClusterColor,SimpleClusterColor,Protein_names,Protein_fams,Gene_names,GO_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_PTPRZ.4.9.m.21524,-0.00269301195671801,-0.0125755384748241,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PUA1A.1.1.m.6287,-0.0117609745146064,-0.00179488026556704,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PUM1.1.1.m.8674,-0.0127222596590387,-0.0173055771273558,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PUR2.1.1.m.17810,0.0213192907955583,-0.00798553948153017,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PUR8.1.1.m.2748,-0.00594882630436212,0.010904298566052,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PUS3.1.1.m.9880,-0.0124462929975442,-0.00482186599361757,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PUS7.1.1.m.53798,0.0105066324603186,0.00861507408617196,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PVX_111155.1.1.m.25208,0.0165078288019432,0.00227591650923072,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PWAP.1.1.m.44818,0.022845413391058,-0.00146104953893994,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PWP2.1.1.m.7530,-0.00443409193115375,-0.0100605109657582,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PXK.1.1.m.27815,0.00874920720158817,0.0110125940257787,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PY03350.1.1.m.8097,0.00439432098885822,-0.0107008545826449,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PY03697.1.1.m.58980,0.000765184223941602,-0.00323650696289278,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PY04960.1.1.m.26352,-0.0226219392259189,0.010462369237853,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PYR1.1.1.m.61565,-0.0034743968438666,-0.0118263804414684,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PYRD2.1.1.m.26691,-0.0106282955558044,0.00338035753221278,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PYRG1.1.1.m.13552,-0.0073918417133712,-0.0170755822825613,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_QARS.2.2.m.18038,0.00594204891993498,-0.0160388024865215,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_QCR2.1.1.m.35612,-0.00734329815087461,-0.0190177882849473,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_QCR2.1.1.m.35613,-0.0186339863961458,-0.0139515584760891,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_QPCT.1.1.m.38977,0.0121956126964814,0.0084007431789436,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_QTRTD1.1.1.m.19041,0.00751779199916641,0.00843715396771545,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_R3HDM1.1.1.m.36018,0.00306012903273715,-0.00598325046813856,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAB1A.1.3.m.10036,0.00135322509064518,-0.0129776821835355,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAB21.1.1.m.56542,0.00529590069012438,-0.00624481337655525,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAB35.1.1.m.8277,0.0111797791999176,0.0152300967565341,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAB35.1.1.m.8278,0.0146513053305218,0.0118401207515212,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAB4B.1.1.m.55402,-0.00895680946778922,0.00521972744584719,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAB7A.1.2.m.23789,0.00140598749069784,0.00695995652758815,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAB7A.1.2.m.23790,-0.00942689277659543,0.00906865959674563,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAB8A.2.3.m.33866,-0.00547761948092024,-0.00807016738027743,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RABGAP1.1.1.m.50532,-3.41305903859533e-05,0.00239006704274214,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RABP2.1.1.m.29597,0.00803277601360211,0.00282932672251331,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RABX5.1.2.m.26033,-0.00150954721865322,-0.0106422234813189,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAC1.1.3.m.20870,0.021844309762495,-0.00974483713028847,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAC1.1.3.m.20871,-0.00459202929052454,0.0145451707231259,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAC1.2.3.m.23406,-0.0226658712643031,0.0103194414324397,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RADI.1.2.m.2373,0.0137365284153627,0.00812614073284395,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RADI.2.2.m.22446,-0.011503071759478,-0.00343803854921847,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAEL1.1.1.m.40419,0.00209974482289854,-0.0182543158928611,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAGP1.1.1.m.64037,-0.0163696957659398,-0.00504620760657195,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RALA.1.4.m.8443,-0.0120052378085164,0.0212175027813806,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RALA.4.4.m.26414,-0.00513712471397507,0.00974296388400715,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAN.1.3.m.3468,-0.0163244532181024,0.00159777118147835,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAN.3.3.m.59027,-0.0172000267759337,0.00487771360766721,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RANB9.1.2.m.40766,-0.00724210185837638,-0.00487894457456435,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RANGRF.1.2.m.18930,-0.0139463541060936,-0.00293415693756241,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAS.1.1.m.57089,-0.0105138554370134,0.0109217826533938,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAS3.1.1.m.15706,-0.00716094909089202,0.011602815991649,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RAVR1.1.1.m.62572,-0.0192526105004598,-0.00707345654698658,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RB3GP.1.2.m.53902,0.0105626115832538,0.0049996710844217,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RB6I2.2.2.m.65652,-0.00867415611188743,0.00592337408315217,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RBBP4.1.1.m.62913,0.00677400311036513,0.000412665089348038,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RBCC1.1.2.m.7288,-0.00142971047078669,-0.00917318399798537,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RBEL1.1.1.m.174,-0.00227228992713845,-0.0194692688970062,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RBM10.2.2.m.59955,-0.00359806130232353,-0.00906128591201506,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RBM19.1.2.m.28228,0.00190581620391656,0.00192951417220774,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RBM20.1.2.m.2222,-0.00976071689792581,0.00633142111301278,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RBM22.1.1.m.43645,-0.00562864216119595,0.00168303781142671,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RBM25.1.2.m.41094,-0.0135100481809309,-0.00901535272381144,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RBM39.1.1.m.19427,-0.00805676247038424,0.00991029812807446,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RBMX.1.1.m.26723,-0.00256404720072494,0.00104932267802875,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RBP6.1.2.m.6061,0.0200694243646584,-0.0110194424181476,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RBSK.1.1.m.17187,0.0141364764465868,0.00932237050687053,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RBX1A.1.1.m.63168,-0.00132164656493133,-0.00922836664354236,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RCC1.1.1.m.15249,0.00716794450605175,-0.00443981967761077,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RCL1.1.1.m.7474,0.000686232728993107,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RCOM_1886900.1.1.m.11248,-0.0221867757475679,0.000124007842016449,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RD23B.1.1.m.38952,-0.0152138027651018,-0.0172175544914475,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RDH13.1.3.m.10433,0.00243312602691096,-0.0236285366148608,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RED.1.2.m.8931,-0.00847364066705717,-0.0134548168347959,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RED1.1.2.m.60684,-0.0107873336090505,-0.00308044733067975,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RED1.2.2.m.61084,-0.00517073813728388,0.00543230628821714,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RELN.3.4.m.48195,0.0109831386632706,-5.5206001472805e-05,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RENT1.1.1.m.44133,-0.00360235459866229,-0.0100334413940339,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RENT2.1.1.m.50589,0.00281716427072701,0.0126520799833661,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_REPS1.1.2.m.35334,0.00554976520671447,-0.00136934882187445,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RER1.1.1.m.49089,-0.0142607283788869,-0.0219662547509697,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RFA1.1.1.m.16020,-0.00621000569185084,-0.0196830709021,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RFA2.1.1.m.6290,0.0021424265950258,0.0118099922703768,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RFC1.1.3.m.8918,0.00944218174030547,-0.018285818840135,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RFC2.1.2.m.12862,-0.0106005492263112,-0.0180796560833598,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RFC2.1.2.m.12863,-0.0116227384170058,-0.00159477248392869,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RFC3.1.1.m.48357,-0.00648534366923618,-0.0073425102654091,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RFIP4.1.2.m.976,0.00863182346872478,-0.00736670886703768,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RFOX2.1.2.m.24118,-0.0205258826402043,-0.0011248976879157,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RFX3.1.1.m.55790,-0.00867628184859725,0.00403404156673768,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RGD1309762.1.1.m.47917,0.019212944369832,0.00945491371409392,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RGD1310712.1.1.m.16487,0.00236213729318424,-0.0118559633463957,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RGD1561408.1.2.m.4308,0.0189760123880106,-0.0141140294902691,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RGN.1.1.m.30406,-0.0157568222262549,0.00627380109640907,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RGPA1.1.1.m.50924,0.002141881502666,-0.0138387461994953,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RHDF1.2.3.m.45435,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RHDF1.3.3.m.54744,-0.00150197846723132,0.00810365196539881,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RHG07.1.1.m.14019,-0.00991383463063687,-0.0114242295924688,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RHG17.1.2.m.32099,0.000817901201245362,-0.00465135245007659,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RHG18.1.1.m.24618,-0.00589678568163434,0.0164300955733386,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RHG44.1.1.m.982,-0.000560533512758111,0.00427912747244661,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RHO.1.1.m.2313,-0.0092934914468183,-0.019471329082388,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RHO1.3.3.m.44337,0.00724264717567357,0.0171768708119723,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RHO1.3.3.m.44338,-0.00496209606777747,0.0161657608088987,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RHOM172_0471.1.1.m.60636,0.0098760652631863,0.0199105798380134,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RIF1.1.1.m.13682,-0.00444344383613648,-0.00310733066989272,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RIMB2.3.5.m.17363,-0.0144310453802484,-0.0211907197170756,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RINT1.1.1.m.9402,-0.00215655519663885,-0.000882667417608575,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RIOK3.1.1.m.54195,0.00123272305554583,-0.0166784178072991,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RIPL1.1.1.m.59984,0.00704128401707864,0.00815396139619566,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RIR1.2.2.m.30556,0.00117682200976431,-0.00476602415156743,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RIR2.1.1.m.19831,0.00275094777090505,-0.0198790537449268,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL10.1.3.m.11695,0.0142469844491086,-0.00285050093869882,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL10A.1.2.m.7633,-0.0141201748924583,-0.00315525082296888,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL11.2.7.m.12991,0.0100207706186,0.00882904037988469,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL14.2.9.m.10151,0.0202851613139671,0.00601860295765163,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL17.2.7.m.34420,0.00864494163574478,0.00481455444812587,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL17.7.7.m.57535,-0.00146942481785082,-0.0187030129044402,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL18A.1.8.m.12900,0.0137220396577934,-0.0146450981359217,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL18A.6.8.m.61646,0.00778908207492762,0.0134797026586813,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL21.1.4.m.19435,0.00209691719796354,0.0087410017219199,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL22.4.4.m.37418,0.0171546170071047,0.00999289275465578,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL23.1.11.m.2901,0.0125395093271596,0.0204406651992425,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL23.4.11.m.13922,0.0223053858680964,0.00835303086561862,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL23A.3.6.m.31005,0.0183201655674094,0.0106222683387784,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL23A.6.6.m.63333,0.00491588973115351,-0.000600714720400962,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL24.6.9.m.43123,0.0194700159457163,-0.0117406897407426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL24.6.9.m.43124,0.00364778592941831,-0.00872052841558097,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL39.1.2.m.5372,0.0065197481554592,-0.00875722032745603,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL39.2.2.m.64898,-0.00791261650881468,0.00618472031452084,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL4.2.6.m.4480,-0.000909460131307903,-0.00974903523694925,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL4.2.6.m.4481,0.0105644123916254,-0.00637526340795244,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL4.6.6.m.66341,-0.00941375899923115,0.0111643108714567,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL40.1.7.m.3623,0.0068856993468304,-0.0161182591641767,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL44.1.2.m.28788,0.0053753800556409,-0.00639478551626255,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL7A.2.6.m.5689,-0.00183351440139716,-0.00285103491425295,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL8.10.10.m.65636,-0.00101260445552188,-0.0208749805841781,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL8.3.10.m.22753,-0.004230646179664,0.0128746073691571,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL9.4.6.m.43062,0.0123429630002608,0.00529754830982131,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RL9.5.6.m.63453,0.00137177515655019,0.00727046412541173,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RLA0.3.7.m.42195,-0.0104828851467163,-0.0154571776785127,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RLA0.3.7.m.42196,0.0167645103063684,-0.00470608036975515,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RLA0.5.7.m.56220,0.00909626566523043,-0.000906344154246493,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RLA1.3.12.m.12071,0.00276827871103516,0.00956292573200427,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RLA1.5.12.m.15482,0.00694066828852937,-0.0200288658853005,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RLA1.8.12.m.25631,0.0061563848697164,0.000982274309884554,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RLP24.2.2.m.51354,0.00117042260741891,-0.0208247658230317,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RM10.1.2.m.26850,0.00775154010926363,0.00780726605350469,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RM11.1.1.m.9390,0.000920025774316151,-0.008428726309534,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RM22.1.1.m.63127,0.0042334131812744,-0.01332617932647,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RM23.1.1.m.173,-0.0225620750305512,0.00998395844512399,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RM37.1.1.m.14517,-0.00967144113005366,-0.0110810869982782,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RM49.1.1.m.1644,-0.00522964619256489,-0.00036537244693865,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RM51.1.1.m.12099,0.00389411101331934,-0.0182436178719889,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RMI1.1.1.m.17246,0.00205195042830452,-0.00934116934689427,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RN19A.1.1.m.35894,-0.0151537204309615,0.00791803728652915,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RN213.11.13.m.59720,-0.00536378344745327,-0.00439014702674205,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RN213.12.13.m.60577,-0.0157380500062081,-0.0121100950518771,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RN213.4.13.m.27716,0.00110839583453131,-0.0187449431415176,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RN213.6.13.m.42268,0.00683330230389409,0.00513890879698858,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RN213.7.13.m.45975,-0.0135725579708752,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RN213.7.13.m.45976,0.00615966897194063,0.00941964587728867,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RN213.8.13.m.52889,0.0065883263884642,0.0180931628217626,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RN45S.2.5.m.14111,0.0172198320606342,0.00161670438126162,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RN45S.4.5.m.43162,0.00708406760976027,-0.00344596534580661,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RNF17.1.1.m.17312,-0.0131045906532979,-0.00190421166958348,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RNF213.1.4.m.3458,-0.0169591047060434,0.00960206869202777,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RNOY.1.3.m.4495,-0.0154628853493931,-0.0131297076203981,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RNOY.3.3.m.58342,-0.0117462903170131,-0.0165155076182865,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RNP1B.1.1.m.59888,-0.00619805169385667,0.0140938360324203,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RNZ1.1.1.m.29553,0.00225770545395051,0.00359411559862883,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RO60.1.6.m.24126,-0.0122564635609237,-0.00104570260448939,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ROA3.2.2.m.11068,-0.01083077542642,-0.00591464991395157,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ROAA.3.6.m.39522,-0.00838250303743612,-0.00311591644042837,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ROCK2.1.1.m.26830,0.01197382290832,0.00450100499042365,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RORA.1.2.m.59037,0.00647509441681852,0.00739630559799847,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPA1.1.2.m.3320,0.00151075453896622,-0.0148874213159278,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPA1.2.2.m.6583,0.00092046470496515,0.000845567738515317,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPA12.1.1.m.48818,-0.00503472487899643,-0.00389421134825123,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPAB1.1.1.m.11586,-0.0112568720018552,-0.00528254592856343,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPAB3.2.4.m.30639,0.0113189590617122,-0.0128554260162867,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPAC1.1.1.m.36389,0.00361968174403023,-0.000276453471929232,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPB1.1.1.m.36612,-0.00175440836717225,-0.0244755408109305,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPB2.1.1.m.38872,0.00356416140700538,0.00163763841528121,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPB3.1.1.m.45705,-0.00984767254576119,0.00463389064189891,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPC1.1.1.m.16568,-0.0170664601266782,0.00602409582250833,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPF2.2.2.m.27891,0.000294956042081947,-0.0134200800644119,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPGRB.1.1.m.59104,0.0106313797325501,-0.0134191969610253,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPL36.1.1.m.57199,0.00880739200276814,0.00799999943727199,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPOC1.1.1.m.34397,-0.0154709090846004,-0.0139149857089647,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPS24.1.8.m.571,0.00987728265252708,0.0198719940376953,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPS27L.1.1.m.21535,-0.00958631394528158,-0.0243296995960493,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RPZ3.1.1.m.26308,-0.0162754932522914,0.00484471807773888,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RRAGA.1.1.m.41224,-0.00870336868822855,0.0124697897822936,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RREB1.1.1.m.11945,-0.0136477156902836,-0.00452467842553129,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RRP1B.1.1.m.21811,0.00495942269930756,-0.0078266418861381,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS14.3.6.m.23056,-0.0150544739333821,-0.000219169135278425,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS15A.5.11.m.18785,0.0102765404086383,0.0112496967046688,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS15A.6.11.m.23616,-0.00430894344577715,-0.00631540690244347,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS16.1.5.m.29365,0.00019561852163312,0.0135202245440867,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS17.10.11.m.58728,-0.0036529134566419,0.00844666879035458,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS19.3.12.m.15295,0.0222219033683038,-0.00118565868048429,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS2.2.10.m.5562,0.0171921715289976,-0.0063999555226831,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS2.7.10.m.39920,0.00205195042830452,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS21.1.4.m.13400,0.0146123219114019,0.00249340959373326,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS23.1.9.m.12948,-0.00143203545609535,-0.0141624335892711,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS23.4.9.m.24810,-0.00393660134490682,0.0114298350160962,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS26.14.15.m.57342,0.00910198112021588,0.0211558283112553,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS27L.1.4.m.9354,0.0168478990131802,0.00353064954751978,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS27L.3.4.m.33064,0.000686232728993107,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS3.2.7.m.23037,0.0172415642317095,-0.00849575837993831,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS3.4.7.m.42801,0.00982296002030017,0.0189543421484886,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS32.1.1.m.57158,-0.0064472037550487,-0.0109799961566072,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS3A.14.15.m.57763,0.00491588973115351,-0.000600714720400962,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS3A.2.15.m.2682,0.00491588973115351,-0.000600714720400963,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS3A.4.15.m.15366,-0.00734804105921631,0.0135751754995486,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RS3A.4.15.m.15367,-0.00499308113187736,-0.00154443210914058,No,NA,NA,NA,NA,NA,NA,NA,NA
